timestamp,reading
1707189589.5593,Reading: 5.0 lbs
1707189589.64723,Reading: 4.9 lbs
1707189589.73479,Reading: 4.8 lbs
1707189589.82269,Reading: 4.8 lbs
1707189589.91046,Reading: 4.7 lbs
1707189589.99734,Reading: 4.7 lbs
1707189590.08535,Reading: 4.6 lbs
1707189590.17556,Reading: 4.5 lbs
1707189590.26168,Reading: 4.5 lbs
1707189590.34865,Reading: 4.4 lbs
1707189590.43989,Reading: 4.3 lbs
1707189590.52443,Reading: 4.3 lbs
1707189590.6117,Reading: 4.3 lbs
1707189590.69975,Reading: 4.2 lbs
1707189590.78753,Reading: 4.3 lbs
1707189590.87528,Reading: 4.3 lbs
1707189590.96313,Reading: 4.4 lbs
1707189591.04993,Reading: 4.4 lbs
1707189591.13846,Reading: 4.4 lbs
1707189591.22664,Reading: 4.3 lbs
1707189591.31255,Reading: 4.3 lbs
1707189591.40124,Reading: 4.2 lbs
1707189591.48977,Reading: 4.2 lbs
1707189591.57691,Reading: 4.2 lbs
1707189591.66486,Reading: 4.2 lbs
1707189591.7526,Reading: 4.2 lbs
1707189591.84024,Reading: 4.2 lbs
1707189591.92839,Reading: 4.2 lbs
1707189592.01515,Reading: 4.1 lbs
1707189592.10345,Reading: 4.1 lbs
1707189592.19165,Reading: 4.0 lbs
1707189592.27931,Reading: 3.9 lbs
1707189592.36663,Reading: 3.8 lbs
1707189592.45695,Reading: 3.7 lbs
1707189592.54248,Reading: 3.7 lbs
1707189592.62941,Reading: 3.7 lbs
1707189592.71732,Reading: 3.7 lbs
1707189592.80499,Reading: 3.8 lbs
1707189592.89344,Reading: 3.8 lbs
1707189592.98008,Reading: 3.8 lbs
1707189593.06811,Reading: 3.8 lbs
1707189593.15687,Reading: 4.0 lbs
1707189593.24479,Reading: 4.1 lbs
1707189593.33123,Reading: 4.4 lbs
1707189593.4198,Reading: 4.7 lbs
1707189593.50699,Reading: 5.0 lbs
1707189593.5957,Reading: 5.3 lbs
1707189593.68204,Reading: 5.7 lbs
1707189593.77044,Reading: 5.9 lbs
1707189593.8582,Reading: 6.0 lbs
1707189593.94491,Reading: 6.0 lbs
1707189594.03337,Reading: 6.0 lbs
1707189594.12142,Reading: 6.0 lbs
1707189594.20912,Reading: 6.1 lbs
1707189594.29657,Reading: 6.1 lbs
1707189594.38442,Reading: 6.0 lbs
